Property_Type,BHK,Location,Area,Status,Furnishing,Facing,Transaction,Price_Per_Sqft,Current_Floor,Total_Floors,Total_Price
Apartment,3,Nanakaramguda,1500,Ready to Move,Semi-Furnished,West,Resale,13793,8,9,20689500
Apartment,3,Kokapet,2100,Ready to Move,Semi-Furnished,West,Resale,10755,6,12,22585500
Apartment,3,Miyapur,2325,Ready to Move,Unfurnished,West,Resale,8817,6,17,20499525
Apartment,2,Miyapur,840,Ready to Move,Unfurnished,East,New Property,6655,14,14,5590200
Apartment,2,Nizampet Miyapur Road,1101,Ready to Move,Unfurnished,East,New Property,7002,12,14,7709202
Apartment,2,Bachupally,1112,Ready to Move,Semi-Furnished,East,Resale,8250,3,8,9174000
Apartment,3,Habsiguda,1200,Ready to Move,Semi-Furnished,East,New Property,10318,4,5,12381600
Apartment,3,Miyapur,1500,Ready to Move,Semi-Furnished,East,Resale,9449,7,19,14173500
Apartment,3,Tellapur,2240,Ready to Move,Furnished,West,Resale,8929,4,10,20000960
Apartment,2,Narsingi,1300,Ready to Move,Unfurnished,West,Resale,10949,5,40,14233700
House,4,Green Homes Colony,1890,Ready to Move,Unfurnished,East,Resale,5100,,,9639000
Villa,5,Tellapur,3300,Ready to Move,Unfurnished,West,Resale,12239,,,40388700
Apartment,3,Bachupally,1423,Ready to Move,Unfurnished,East,Resale,7099,3,10,10101877
Apartment,2,Begumpet,1030,Ready to Move,Semi-Furnished,West,Resale,4825,3,4,4969750
Apartment,3,Petbasheerabad,1700,Ready to Move,Furnished,West,Resale,7427,2,6,12625900
Apartment,3,Nizampet,1523,Ready to Move,Unfurnished,South,Resale,7636,10,13,11629628
House,5,Kapra,4250,Ready to Move,Semi-Furnished,West,Resale,6047,,,25699750
Apartment,3,Kondapur,2379,Ready to Move,Unfurnished,East,Resale,7776,5,7,18499104
Apartment,3,Nalagandla,1695,Ready to Move,Semi-Furnished,East,Resale,10619,14,14,17999205
Apartment,3,Hitech City,2000,Ready to Move,Semi-Furnished,North - East,Resale,12087,13,14,24174000
House,4,Prashanti Nagar New Nallakunta,1800,Ready to Move,Unfurnished,West,Resale,15220,,,27396000
Villa,4,Ghatkesar,2450,Ready to Move,Unfurnished,East,Resale,6429,,,15751050
Villa,3,Haven Colony,2500,Ready to Move,Semi-Furnished,East,Resale,6040,,,15100000
Apartment,3,Sainikpuri,1800,Ready to Move,Semi-Furnished,North,New Property,5176,4,4,9316800
Apartment,3,Kondapur,1650,Ready to Move,Semi-Furnished,North,Resale,7388,9,9,12190200
Apartment,3,Hyderguda Attapur,1100,Ready to Move,Unfurnished,North,Resale,6328,4,5,6960800
Apartment,3,Narsingi,1734,Ready to Move,Unfurnished,West,Resale,12814,30,30,22219476
Apartment,3,Pragathi Nagar,1640,Ready to Move,Semi-Furnished,North - East,Resale,6098,4,4,10000720
Apartment,3,Quthbullapur,1424,Ready to Move,Semi-Furnished,East,Resale,5618,2,2,8000032
Apartment,3,Rajendranagar Mandal,1100,Ready to Move,Semi-Furnished,East,Resale,5217,4,5,5738700
Apartment,3,Bachupally,1353,Ready to Move,Unfurnished,East,Resale,8869,30,33,11999757
Apartment,2,Suchitra Road,1150,Ready to Move,Furnished,North - East,Resale,6695,3,5,7699250
Villa,4,Khajaguda,3200,Ready to Move,Semi-Furnished,North - East,Resale,18085,,,57872000
Villa,4,Kollur,3580,Ready to Move,Unfurnished,North - West,New Property,14000,,,50120000
House,3,Mallapur Balapur,1188,Ready to Move,Unfurnished,West,New Property,8730,,,10371240
Apartment,2,Miyapur,1100,Ready to Move,Unfurnished,West,Resale,7826,4,10,8608600
Apartment,4,Kollur,1625,Poss. by Mar '27,Unfurnished,East,New Property,6049,8,15,9829625
Apartment,2,Mallampet,950,Ready to Move,Furnished,East,Resale,5455,4,5,5182250
Apartment,3,Bachupally,1353,Ready to Move,Unfurnished,East,Resale,7857,6,33,10630521
Apartment,2,Kuntloor,808,Ready to Move,Unfurnished,West,Resale,4340,3,5,3506720
Apartment,2,Kondapur,1121,Ready to Move,Furnished,North,Resale,12461,8,10,13968781
Apartment,3,Friends Colony Chanda Nagar,1640,Ready to Move,Furnished,East,Resale,7353,4,5,12058920
